Season,Location,NumberOfTimes,Column,Row
Twenty-Two,1,0,1,1
Twenty-Two,2,0,2,1
Twenty-Two,3,0,3,1
Twenty-Two,4,0,4,1
Twenty-Two,5,0,5,1
Twenty-Two,6,0,6,1
Twenty-Two,7,10,1,2
Twenty-Two,8,1,2,2
Twenty-Two,9,13,3,2
Twenty-Two,10,10,4,2
Twenty-Two,11,11,5,2
Twenty-Two,12,6,6,2
Twenty-Two,13,30,1,3
Twenty-Two,14,9,2,3
Twenty-Two,15,36,3,3
Twenty-Two,16,25,4,3
Twenty-Two,17,24,5,3
Twenty-Two,18,20,6,3
Twenty-Two,19,34,1,4
Twenty-Two,20,14,2,4
Twenty-Two,21,38,3,4
Twenty-Two,22,23,4,4
Twenty-Two,23,40,5,4
Twenty-Two,24,19,6,4
Twenty-Two,25,22,1,5
Twenty-Two,26,7,2,5
Twenty-Two,27,18,3,5
Twenty-Two,28,19,4,5
Twenty-Two,29,14,5,5
Twenty-Two,30,12,6,5
