Season,Location,NumberOfTimes,Column,Row
Thirty-Four,1,0,1,1
Thirty-Four,2,0,2,1
Thirty-Four,3,0,3,1
Thirty-Four,4,0,4,1
Thirty-Four,5,0,5,1
Thirty-Four,6,0,6,1
Thirty-Four,7,1,1,2
Thirty-Four,8,2,2,2
Thirty-Four,9,9,3,2
Thirty-Four,10,3,4,2
Thirty-Four,11,4,5,2
Thirty-Four,12,3,6,2
Thirty-Four,13,9,1,3
Thirty-Four,14,7,2,3
Thirty-Four,15,10,3,3
Thirty-Four,16,15,4,3
Thirty-Four,17,10,5,3
Thirty-Four,18,9,6,3
Thirty-Four,19,7,1,4
Thirty-Four,20,15,2,4
Thirty-Four,21,9,3,4
Thirty-Four,22,18,4,4
Thirty-Four,23,12,5,4
Thirty-Four,24,4,6,4
Thirty-Four,25,7,1,5
Thirty-Four,26,5,2,5
Thirty-Four,27,6,3,5
Thirty-Four,28,9,4,5
Thirty-Four,29,11,5,5
Thirty-Four,30,5,6,5
